Source,Target,Weight
顾里,南湘,247
顾里,唐宛如,129
顾里,林萧,21
顾里,顾源,212
顾里,简溪,80
顾里,卫海,7
顾里,白素贞,6
顾里,席城,33
顾里,叶传萍,15
顾里,Neil,121
唐宛如,南湘,104
唐宛如,顾里,129
唐宛如,顾源,29
唐宛如,林萧,10
唐宛如,简溪,21
唐宛如,卫海,88
唐宛如,席城,7
塞进,唐宛如,9
塞进,南湘,7
南湘,唐宛如,104
南湘,顾里,247
南湘,林萧,9
南湘,顾源,53
南湘,简溪,42
南湘,席城,51
南湘,Neil,21
小姐,顾里,17
林萧,南湘,9
林萧,顾里,21
林萧,唐宛如,10
林萧,简溪,15
宫,Kitty,65
宫,崇光,21
顾源,顾里,212
顾源,唐宛如,29
顾源,南湘,53
顾源,简溪,107
顾源,卫海,6
顾源,席城,6
顾源,袁艺,11
顾源,叶传萍,21
顾源,Neil,19
简溪,顾里,80
简溪,南湘,42
简溪,唐宛如,21
简溪,顾源,107
简溪,林萧,15
简溪,安静,7
简溪,林泉,9
高三,顾里,6
卫海,顾里,7
卫海,顾源,6
卫海,唐宛如,88
Kitty,宫,65
Kitty,崇光,23
席城,南湘,51
席城,顾里,33
席城,唐宛如,7
席城,顾源,6
白素贞,顾里,6
袁艺,顾源,11
叶传萍,顾源,21
叶传萍,顾里,15
崇光,Kitty,23
崇光,宫,21
林泉,简溪,9
Neil,顾里,121
Neil,南湘,21
Neil,顾源,19
